Frame ID,QR ID,QR 2D,QR 3D
165,15,"[[496, 175], [566, 170], [572, 240], [501, 246]]","[2.017669811306621, 179.98178295595025, 0.7656486086670088, -4.378377643542708]"
166,15,"[[509, 165], [579, 160], [584, 231], [514, 236]]","[2.0224207224394677, -177.17856284828653, 3.294741137264634, -3.4361512526713605]"
167,15,"[[514, 160], [584, 155], [589, 226], [519, 232]]","[2.0114780951827074, -177.24725923713086, 4.771976989134229, -3.418064449614596]"
168,15,"[[516, 166], [586, 161], [591, 232], [521, 237]]","[2.0200109812352607, -177.0613219629739, 3.3124676396386374, -3.4409449546664965]"
169,15,"[[516, 175], [586, 169], [591, 239], [523, 245]]","[2.0451152888576627, -158.20239197191515, -13.483592164981875, -8.014146960991782]"
170,15,"[[516, 184], [585, 178], [591, 248], [522, 254]]","[2.0359885185632964, -177.07778571671133, 3.6167281035716767, -4.318725022231242]"
171,15,"[[506, 179], [575, 172], [581, 241], [513, 248]]","[2.057740802324667, -178.82352456531808, 3.3650432432495387, -5.140098564982649]"
172,15,"[[484, 190], [552, 182], [559, 250], [492, 257]]","[2.10157126191279, -178.87408432159467, 1.7200325454303784, -6.064242637915593]"
173,15,"[[485, 184], [552, 178], [560, 246], [493, 253]]","[2.111981088042594, -172.52570190842488, 1.9493211440541478, -5.247667817070808]"
174,15,"[[491, 187], [557, 181], [564, 249], [498, 255]]","[2.120129618369642, -173.22446230869696, 5.224733291898645, -4.226109193781837]"
175,15,"[[498, 195], [564, 190], [570, 257], [504, 263]]","[2.124312646055262, -175.22931006239065, 3.7911638352027768, -4.0850554471167495]"
176,15,"[[512, 203], [578, 200], [583, 266], [517, 271]]","[2.1331361916772202, -167.97281266361983, -15.590301350643244, -6.260384359801695]"
177,15,"[[523, 208], [589, 204], [594, 270], [528, 275]]","[2.1344075703319705, -176.5753665069348, -0.18884584376474772, -3.9516013522866382]"
178,15,"[[520, 210], [586, 205], [591, 272], [526, 276]]","[2.1382611634872664, -172.09255639671483, 3.7267370039014125, -3.3455734764392613]"
179,15,"[[516, 204], [581, 200], [586, 267], [520, 271]]","[2.1278524382212765, -175.45091298939013, 4.977032536904587, -2.7754402980390553]"
180,15,"[[516, 199], [582, 196], [586, 263], [521, 267]]","[2.1241203346485893, -166.7997981968691, -18.15354866900141, -6.5507751856351835]"
181,15,"[[515, 196], [582, 193], [585, 260], [520, 264]]","[2.12027550443055, -163.59282050332305, -16.82464395367873, -6.3786743814589615]"
