Frame ID,QR ID,QR 2D,QR 3D
484,7,"[[360, 294], [359, 278], [374, 278], [375, 293]]","[4.84650362580948, -172.91085406903002, -25.021927448902893, -91.01990188147424]"
485,10,"[[901, 235], [916, 232], [916, 275], [901, 276]]","[3.4530466962179833, 5.984281729387212, 39.04591493139473, -163.5654908125823]"
485,4,"[[449, 242], [468, 241], [469, 261], [450, 261]]","[3.9379518774524995, 168.60476837162346, 36.241122203158795, -9.069145218586605]"
485,7,"[[341, 324], [340, 308], [356, 308], [356, 323]]","[4.896331096953851, -179.17310064773727, -18.00250357409719, -90.68497996991296]"
486,10,"[[907, 211], [924, 208], [923, 254], [905, 256]]","[3.1760277936185495, -176.90765361700278, -31.343428155764563, 0.02990089616022674]"
486,4,"[[426, 206], [446, 207], [445, 227], [425, 227]]","[3.668437502115051, 178.480518090122, 6.072548162166112, 1.8816552840076473]"
486,7,"[[311, 289], [312, 273], [327, 273], [326, 290]]","[4.52897886197474, 149.87543052538598, -21.8678135657915, -85.35541224328225]"
487,10,"[[907, 220], [925, 216], [924, 264], [906, 264]]","[3.1566782483875078, 5.125945720122818, 39.34001767880254, -165.51374737252564]"
487,4,"[[421, 216], [441, 215], [441, 236], [421, 236]]","[3.675506051094356, 160.85154739238948, 33.080280633489245, -6.60316067504101]"
487,7,"[[307, 299], [306, 284], [321, 282], [323, 299]]","[4.656590226715975, 161.99365570693402, -15.626646993159278, -95.10421588343324]"
488,4,"[[456, 260], [478, 261], [478, 282], [457, 282]]","[3.5557815885869495, 152.45426695366749, 13.201633776228872, 1.0416598400024475]"
488,7,"[[340, 350], [339, 333], [355, 332], [357, 349]]","[4.511156261299681, -169.94940617996807, -32.61702835777511, -93.05846338756395]"
489,11,"[[928, 694], [893, 683], [902, 673], [939, 685]]","[9.031423268552059, -28.901107410849075, -34.303670558761276, 100.30206156970529]"
489,4,"[[529, 240], [552, 238], [552, 261], [530, 261]]","[3.620311970725008, 143.24021455975605, 48.666456708520364, -16.653283801035453]"
489,7,"[[410, 331], [409, 314], [426, 313], [427, 331]]","[4.429480160338114, 147.64112545247949, -19.184824206458895, -91.27206891769576]"
490,4,"[[548, 228], [571, 228], [570, 251], [547, 251]]","[3.514892536935525, -177.90481254921977, 12.249674892190429, -0.6116745832672442]"
490,7,"[[424, 320], [424, 302], [441, 302], [442, 320]]","[4.317485623141288, 173.3185150737909, -28.642172360310596, -85.02997835564278]"
491,4,"[[577, 231], [601, 231], [602, 254], [578, 255]]","[3.63623488575819, 179.1207652597039, 6.362286306543426, -2.334182300227962]"
491,0,"[[42, 267], [59, 267], [61, 293], [44, 293]]","[3.174635454018159, 172.84316822713603, 14.523407816415823, -8.180400530203931]"
